Estado,Confirmados totales,Confirmados nuevos,Defunciones,Defunciones nuevas,Sospechosos totales,Negativos totales
Aguascalientes,3960,113,247,4,258,7412
Baja California,13039,93,2564,27,1206,7350
Baja California Sur,3966,72,154,7,580,5620
Campeche,4383,7,457,15,309,3272
Chiapas,5466,20,887,15,387,2543
Chihuahua,5010,160,865,13,2226,5054
Ciudad de México,86022,1466,8789,58,16737,115261
Coahuila,11939,355,594,12,3617,18814
Colima,1686,45,194,11,306,1478
Durango,3784,39,266,2,953,7981
Guanajuato,19098,646,915,52,2361,28497
Guerrero,10094,231,1353,23,1361,6245
Hidalgo,6313,171,1003,19,253,4356
Jalisco,12498,234,1465,36,3029,23209
Michoacán,9276,103,695,10,2028,15626
Morelos,3744,47,828,9,314,3592
México,36130,650,6222,77,17647,37352
Nayarit,3235,74,356,9,219,2764
Nuevo León,15805,140,966,39,5948,27219
Oaxaca,9900,132,894,32,807,4279
Puebla,19339,180,2294,45,4933,18385
Querétaro,3568,42,464,8,188,3325
Quintana Roo,7216,52,939,16,773,4412
San Luis Potosí,8349,369,420,14,4439,11437
Sinaloa,12449,103,2077,29,1433,8630
Sonora,16975,277,1820,61,2805,9075
Tabasco,20448,315,1885,22,1787,17097
Tamaulipas,14002,317,936,35,5993,20215
Tlaxcala,3964,60,646,25,855,6812
Veracruz,19662,473,2625,100,2844,9527
Yucatán,8990,187,838,13,647,9233
Zacatecas,2387,35,218,16,295,3782
