Fecha,México,Susana_00,Susana_20,Susana_50
2020-02-28,1.0,,,
2020-02-29,4.0,,,
2020-03-01,5.0,,,
2020-03-02,5.0,,,
2020-03-03,5.0,,,
2020-03-04,5.0,,,
2020-03-05,5.0,,,
2020-03-06,6.0,,,
2020-03-07,7.0,,,
2020-03-08,7.0,,,
2020-03-09,7.0,,,
2020-03-10,7.0,,,
2020-03-11,11.0,,,
2020-03-12,16.0,,,
2020-03-13,30.0,,,
2020-03-14,44.0,,,
2020-03-15,55.0,,,
2020-03-16,75.0,,,
2020-03-17,101.0,,,
2020-03-18,118.0,,,
2020-03-19,177.0,177.0,177.0,177.0
2020-03-20,203.0,192.0,192.0,192.0
2020-03-21,251.0,209.0,209.0,209.0
2020-03-22,316.0,246.0,246.0,246.0
2020-03-23,356.0,299.0,299.0,299.0
2020-03-24,405.0,368.0,368.0,368.0
2020-03-25,475.0,458.0,458.0,458.0
2020-03-26,585.0,574.0,574.0,574.0
2020-03-27,717.0,725.0,725.0,725.0
2020-03-28,848.0,920.0,904.0,886.0
2020-03-29,,1173.0,1116.0,1052.0
2020-03-30,,1501.0,1368.0,1221.0
2020-03-31,,1926.0,1668.0,1395.0
2020-04-01,,2477.0,2025.0,1573.0
2020-04-02,,3192.0,2450.0,1755.0
2020-04-03,,4118.0,2956.0,1943.0
