Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Colima,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-02-27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-13,21,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-03-14,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
2020-03-15,29,0,0,0,0,0,0,0,0,15,0,0,0,1,0,8,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
2020-03-16,40,0,0,0,0,1,0,0,0,19,0,0,0,1,1,10,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,0,1
2020-03-17,48,1,0,0,0,1,0,0,0,22,1,0,0,1,2,10,0,0,0,1,0,3,0,2,0,2,1,0,0,0,0,0,1
2020-03-18,56,1,0,0,0,1,0,0,0,27,1,0,0,1,2,10,0,0,0,1,0,3,0,3,1,2,1,0,0,0,1,0,1
2020-03-19,73,1,3,0,0,1,0,0,0,36,1,0,0,1,2,12,1,0,0,1,1,3,0,4,1,2,1,0,0,0,1,0,1
2020-03-20,91,1,5,0,0,2,0,0,2,42,1,1,0,2,4,14,1,0,0,1,1,3,0,4,1,3,1,0,0,0,1,0,1
2020-03-21,111,1,7,0,0,2,0,0,2,50,2,1,0,2,4,19,1,1,0,2,1,4,0,4,2,3,1,0,0,0,1,0,1
2020-03-22,129,1,7,0,0,2,0,0,3,58,2,1,0,2,5,21,1,1,0,3,1,4,0,6,2,4,1,0,0,0,1,2,1
2020-03-23,164,1,10,0,1,2,0,2,3,69,3,1,0,2,6,27,2,1,0,4,1,5,1,8,3,4,2,2,0,0,1,2,1
2020-03-24,211,1,17,0,1,3,1,2,3,80,3,2,0,2,7,35,2,2,1,4,1,9,1,10,3,7,3,2,1,1,3,3,1
2020-03-25,249,3,20,0,1,3,1,2,4,89,4,2,1,5,8,42,3,2,1,4,1,10,1,15,3,10,3,2,1,1,3,3,1
2020-03-26,304,4,22,0,1,3,1,2,6,107,4,3,3,6,8,49,3,2,1,4,1,16,2,20,3,17,3,2,1,1,5,3,1
2020-03-27,384,4,33,1,1,4,1,2,8,128,4,5,4,8,10,62,3,2,1,5,1,21,4,24,5,22,5,2,1,1,6,4,2
2020-03-28,452,4,36,3,1,5,1,3,9,151,4,7,6,8,12,71,5,3,2,5,1,24,4,28,5,26,8,2,1,1,7,7,2
2020-03-29,515,5,46,4,2,6,1,3,14,173,4,7,6,9,14,75,6,3,2,5,1,25,4,31,7,30,8,3,3,1,7,8,2
2020-03-30,593,5,53,4,2,10,2,3,17,194,5,8,7,11,15,84,6,5,2,9,1,30,5,36,7,35,8,7,3,1,7,9,2
2020-03-31,670,5,65,4,2,11,3,3,22,209,5,8,9,13,19,91,7,5,2,9,1,36,5,44,7,44,10,8,3,1,8,9,2
