Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-03-12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,4,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,9,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020-03-17,11,0,0,0,0,1,0,0,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020-03-18,15,0,0,0,0,1,0,0,4,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
2020-03-19,18,0,0,0,0,1,0,0,7,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
2020-03-20,23,0,0,0,0,1,0,0,10,1,0,0,1,2,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
2020-03-21,31,0,0,0,0,1,0,0,14,2,0,0,1,2,3,0,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1
2020-03-22,38,0,0,0,0,1,0,1,17,2,0,0,1,3,3,0,2,0,1,0,1,0,2,2,1,0,0,0,0,0,0,1
2020-03-23,51,0,0,0,0,1,1,1,20,2,0,0,2,3,3,1,2,0,2,0,1,1,3,3,1,0,3,0,0,0,0,1
2020-03-24,69,0,1,0,0,2,1,1,25,2,0,0,2,3,5,1,3,1,2,0,3,2,3,3,3,1,4,0,0,0,0,1
2020-03-25,82,0,3,0,0,2,1,1,28,3,0,0,3,3,7,2,3,1,2,0,4,2,3,3,5,1,4,0,0,0,0,1
2020-03-26,102,0,3,2,0,2,1,1,33,3,0,1,5,3,8,3,3,1,2,0,7,2,4,3,8,1,4,0,0,1,0,1
2020-03-27,128,0,6,2,0,2,1,1,42,3,1,1,5,4,10,3,3,1,2,1,9,2,4,3,10,2,5,1,0,2,0,2
2020-03-28,150,0,8,3,0,3,1,2,49,3,2,1,5,5,10,4,3,1,2,1,11,2,6,3,11,3,5,1,0,2,1,2
2020-03-29,170,1,12,3,0,4,1,5,54,3,2,1,6,5,12,4,3,1,2,1,12,2,7,3,12,3,5,1,0,2,1,2
2020-03-30,195,1,16,3,0,8,1,7,59,4,2,2,7,6,12,4,4,1,3,1,13,2,7,3,13,3,6,1,0,2,2,2
2020-03-31,221,1,18,3,0,9,1,10,63,4,2,3,7,8,12,5,4,1,3,1,16,2,12,3,16,3,7,1,0,2,2,2
2020-04-01,255,1,21,3,1,11,2,11,66,4,2,4,9,9,14,6,4,1,3,1,18,2,17,3,17,4,8,2,0,3,6,2
2020-04-02,282,1,22,4,2,11,2,13,75,4,2,4,9,9,17,6,5,1,4,1,21,2,17,3,20,6,8,2,0,3,6,2
2020-04-03,311,1,25,5,2,11,2,14,79,4,3,4,9,9,22,9,6,2,4,1,22,4,17,3,22,6,11,3,0,3,6,2
2020-04-04,330,1,27,5,2,11,2,17,84,4,4,4,9,9,23,9,6,2,4,1,24,4,17,4,24,7,12,3,0,3,6,2
2020-04-05,356,1,28,5,2,12,2,18,90,4,5,5,9,9,26,9,7,3,4,3,26,4,19,4,26,7,14,3,0,3,6,2
2020-04-06,385,1,29,5,2,13,2,19,95,4,5,5,10,9,32,10,7,3,5,4,26,4,21,4,29,9,15,3,3,3,6,2
2020-04-07,409,1,30,5,2,13,2,19,98,4,6,6,10,9,37,11,9,4,5,4,27,4,25,4,32,9,15,3,3,4,6,2
2020-04-08,428,1,30,5,2,14,2,20,102,4,6,6,10,11,39,13,9,4,5,4,28,5,26,4,35,9,15,3,3,5,6,2
2020-04-09,440,1,30,6,2,15,2,20,106,4,6,6,10,11,42,13,9,4,5,4,29,5,26,4,36,9,15,4,3,5,6,2
2020-04-10,457,1,30,6,2,15,3,20,108,4,6,7,12,11,45,13,9,4,5,4,29,5,26,4,38,10,18,4,4,5,7,2
2020-04-11,468,2,31,6,3,15,3,21,108,4,6,7,12,11,46,13,10,4,5,5,31,5,26,4,39,10,19,4,4,5,7,2
2020-04-12,478,2,31,6,3,15,3,21,109,4,6,9,12,11,46,13,10,5,5,5,32,5,28,4,40,10,20,4,4,6,7,2
2020-04-13,485,2,31,6,3,15,3,23,110,4,6,9,12,11,46,13,10,5,5,5,32,5,28,4,40,10,24,4,4,6,7,2
2020-04-15,486,2,31,6,3,15,3,23,110,4,6,9,12,11,46,13,10,5,5,5,32,5,28,4,40,10,25,4,4,6,7,2
