Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Colima,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,8,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-05,10,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-06,12,0,0,0,0,3,0,0,0,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-09,13,0,0,0,0,3,0,0,0,3,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-14,14,0,0,0,0,3,0,0,0,3,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-03-15,19,0,0,0,0,3,0,1,0,4,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0
2020-03-16,22,0,0,0,0,3,0,1,0,5,0,1,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,1,2,0,1,1,0
2020-03-17,24,0,0,0,0,3,0,1,0,5,0,1,0,0,2,3,0,0,0,2,0,2,0,0,0,0,0,1,2,0,1,1,0
2020-03-18,26,0,0,0,0,3,0,1,0,5,0,1,0,0,2,3,0,0,0,2,0,3,0,0,0,0,0,2,2,0,1,1,0
2020-03-19,27,0,0,0,0,3,0,1,0,5,0,2,0,0,2,3,0,0,0,2,0,3,0,0,0,0,0,2,2,0,1,1,0
2020-03-20,33,0,1,1,0,3,0,1,0,6,0,2,0,0,2,3,0,0,0,2,0,4,0,1,0,0,0,3,2,0,1,1,0
2020-03-21,38,0,1,1,0,3,0,1,0,9,0,2,0,0,2,4,0,0,0,2,0,4,0,1,0,0,0,3,2,0,1,2,0
2020-03-22,41,1,1,1,0,3,0,1,0,10,0,2,0,0,2,4,0,0,0,2,0,4,0,1,0,1,0,3,2,0,1,2,0
2020-03-23,55,1,2,1,0,5,0,1,0,14,0,4,0,0,2,5,1,0,0,3,0,4,1,1,0,1,0,4,2,0,1,2,0
2020-03-24,68,1,2,2,0,6,0,1,0,18,0,5,0,0,2,7,1,0,0,5,0,6,1,1,0,1,0,4,2,0,1,2,0
2020-03-25,98,2,6,3,0,6,0,2,1,22,0,5,0,0,5,14,1,0,0,6,0,8,1,1,0,2,0,6,2,0,1,4,0
2020-03-26,382,4,15,4,0,10,0,4,1,71,2,9,19,0,49,38,6,1,0,28,2,13,1,4,1,10,6,32,19,3,23,7,0
2020-03-27,613,6,25,7,0,29,0,4,2,106,4,11,32,0,89,63,11,1,1,38,4,16,2,5,1,15,8,61,19,5,39,8,1
2020-03-28,758,6,29,8,0,31,0,6,2,130,4,12,33,0,124,79,11,1,1,43,4,19,4,9,1,19,9,76,20,8,58,10,1
2020-03-29,867,7,34,10,0,39,0,6,2,151,4,16,36,0,136,92,12,1,1,45,4,22,5,9,1,21,10,90,21,12,69,10,1
2020-03-30,1198,7,58,14,0,44,2,9,5,180,8,19,54,0,203,114,15,2,1,67,5,34,5,18,1,28,16,126,23,19,103,16,2
