Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Chiapas,Chihuahua,Ciudad De México,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán
2020-02-27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,7,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,9,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,11,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,13,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2020-03-18,14,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
2020-03-19,19,0,1,0,0,0,0,0,10,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
2020-03-20,21,0,1,0,0,0,0,0,12,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
2020-03-21,25,0,1,0,0,0,0,0,15,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0
2020-03-22,29,0,1,0,0,0,0,0,17,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,2
2020-03-23,34,0,1,0,0,0,0,0,17,0,0,1,1,3,0,0,0,3,0,1,1,1,1,0,1,1,0,0,0,2
2020-03-24,35,0,1,0,0,0,0,0,17,0,0,1,1,4,0,0,0,3,0,1,1,1,1,0,1,1,0,0,0,2
2020-03-25,39,0,1,0,0,0,0,0,18,0,0,1,1,6,1,0,0,3,0,1,1,1,1,0,1,1,0,0,0,2
2020-03-26,50,0,1,0,0,0,0,1,22,1,1,1,1,6,1,0,0,3,0,1,1,4,1,1,1,1,0,0,0,2
2020-03-27,59,0,2,0,0,0,0,1,26,2,1,1,1,6,1,0,0,3,0,3,2,4,1,1,1,1,0,0,0,2
2020-03-28,71,0,3,0,0,1,0,1,31,3,1,1,1,7,1,0,0,3,0,3,2,5,1,1,1,1,0,0,1,3
2020-03-29,82,1,3,0,0,1,0,1,36,3,1,2,1,8,1,0,0,3,0,3,2,6,1,2,1,1,1,0,1,3
2020-03-30,92,1,5,0,0,2,0,3,37,3,1,2,1,8,1,0,0,4,0,4,2,6,1,3,1,1,1,0,1,4
2020-03-31,103,1,5,0,0,2,0,3,40,3,3,2,4,8,1,0,0,4,0,5,2,6,1,4,2,1,1,0,1,4
2020-04-01,119,1,6,1,0,3,1,3,41,4,3,3,4,9,1,0,0,4,0,7,2,8,1,5,2,1,1,0,1,7
2020-04-02,127,1,6,1,0,3,1,3,44,5,3,3,4,10,1,1,0,4,0,8,2,8,1,5,3,1,1,0,1,7
2020-04-03,137,1,6,1,0,3,1,3,46,6,3,3,4,11,1,2,0,4,0,9,3,9,1,6,3,1,1,0,2,7
2020-04-04,146,1,6,1,0,3,1,3,51,7,3,3,4,11,1,2,0,4,0,9,3,9,2,7,3,1,1,0,3,7
2020-04-05,165,1,6,1,0,3,1,3,55,8,4,3,4,12,1,3,0,4,2,9,3,11,2,9,3,3,1,1,3,9
2020-04-06,195,1,16,1,0,3,1,4,61,8,4,3,4,14,2,3,0,4,2,11,3,14,2,10,3,5,1,2,3,10
2020-04-07,214,1,17,1,0,3,1,5,66,8,5,3,4,15,3,5,1,5,2,11,3,16,2,11,3,6,1,2,4,10
2020-04-08,229,1,17,1,0,4,1,5,71,8,6,3,5,16,3,6,1,5,2,11,3,17,2,13,3,8,1,2,4,10
2020-04-09,241,1,17,1,0,5,2,5,74,8,7,3,5,17,3,7,1,5,2,11,3,18,2,13,3,9,1,2,6,10
2020-04-10,260,1,18,1,0,6,2,5,81,8,8,3,5,18,3,7,1,6,2,12,3,19,2,15,3,10,1,3,7,10
2020-04-11,277,1,18,1,1,6,2,9,82,8,9,3,5,19,3,7,1,6,3,13,3,20,2,17,3,11,2,3,8,11
2020-04-12,291,1,18,1,1,6,2,12,84,9,10,3,5,20,3,8,1,6,3,13,3,22,2,18,3,11,3,3,9,11
2020-04-13,306,1,18,1,1,6,2,17,84,9,11,3,5,23,3,8,1,6,3,13,3,23,2,19,3,12,3,4,9,13
2020-04-14,315,1,18,1,1,6,2,18,87,9,11,3,5,23,3,8,1,6,3,13,3,23,2,19,3,17,3,4,9,13
2020-04-15,316,1,18,1,1,6,2,18,87,9,11,3,5,23,3,8,1,6,3,13,3,23,2,19,3,18,3,4,9,13
