,Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
0,2020-02-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-29,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2020-03-01,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2020-03-02,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2020-03-03,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2020-03-04,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2020-03-05,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2020-03-06,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2020-03-07,7,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2020-03-08,7,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2020-03-09,7,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2020-03-10,7,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2020-03-11,11,0,0,0,0,1,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
13,2020-03-12,16,0,0,0,0,1,0,1,0,6,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
14,2020-03-13,30,0,0,0,0,1,0,1,0,11,1,0,0,0,0,4,0,0,0,2,0,2,4,1,1,1,0,0,0,0,0,1,0
15,2020-03-14,44,0,0,0,0,1,0,1,0,17,1,0,0,0,2,4,0,0,0,4,2,4,4,1,1,1,0,0,0,0,0,1,0
16,2020-03-15,55,1,0,0,0,1,0,1,0,18,1,2,0,0,2,6,0,0,0,5,2,6,4,1,2,2,0,0,0,0,0,1,0
17,2020-03-16,75,1,0,0,0,1,0,1,0,18,3,2,2,0,2,6,0,0,0,12,2,9,6,4,2,2,0,0,1,0,0,1,0
18,2020-03-17,101,1,2,0,0,1,1,1,1,21,3,4,2,0,7,9,0,0,0,14,2,10,7,4,3,2,0,0,1,0,0,5,0
19,2020-03-18,118,2,2,0,0,1,1,1,1,21,3,4,2,0,7,10,0,0,0,19,2,10,7,6,7,2,0,1,2,0,2,5,0
20,2020-03-19,177,4,3,0,0,1,1,2,1,31,3,4,4,2,27,10,0,0,0,25,2,12,9,6,7,3,2,1,2,0,2,13,0
21,2020-03-20,203,4,4,0,0,1,1,2,2,31,4,4,4,2,28,14,0,2,0,29,2,14,11,11,7,3,2,2,2,0,4,13,0
22,2020-03-21,251,4,8,1,0,3,2,2,2,45,5,4,4,3,32,14,0,2,1,32,2,16,14,12,9,3,2,4,3,0,7,14,1
23,2020-03-22,316,4,11,1,1,10,2,2,5,56,5,4,4,5,41,22,3,2,1,35,3,16,14,12,12,4,4,5,4,0,7,19,2
24,2020-03-23,356,6,11,1,1,12,2,2,5,60,5,7,4,5,46,22,8,2,1,48,2,16,14,22,12,3,2,5,4,0,7,19,2
25,2020-03-24,405,6,13,2,2,12,2,2,6,66,5,12,6,7,46,21,8,2,1,52,4,22,16,22,16,5,4,6,5,0,7,24,3
26,2020-03-25,475,12,14,5,2,12,2,4,6,82,5,19,7,7,46,26,10,2,4,52,7,34,18,22,17,4,4,6,6,1,7,29,3
27,2020-03-26,585,13,19,7,2,13,2,4,6,83,5,23,7,12,64,46,11,4,4,57,8,45,21,29,18,9,7,17,6,1,7,32,3
28,2020-03-27,717,19,20,9,2,14,2,7,6,107,7,31,7,12,77,70,16,4,5,64,11,51,23,29,19,9,8,21,6,4,17,36,4
29,2020-03-28,848,19,20,9,3,15,2,6,6,177,7,37,10,12,82,85,17,4,5,64,12,52,25,33,20,14,10,27,6,4,23,38,4
30,2020-03-29,993,24,23,11,3,32,2,10,6,196,7,37,13,17,83,119,17,6,5,67,14,66,26,38,24,19,14,33,7,4,24,41,5
31,2020-03-30,1094,24,27,13,3,39,2,11,6,205,7,43,13,17,90,136,17,6,6,75,14,76,27,43,25,24,17,38,8,4,26,46,6
32,2020-03-31,1215,36,35,17,5,44,2,13,7,234,7,46,15,19,94,149,21,7,6,76,14,81,29,47,25,27,17,48,8,4,27,49,6
33,2020-04-01,1378,36,37,18,5,57,3,14,11,296,7,49,17,21,99,157,24,9,8,78,22,97,29,51,31,32,18,52,9,5,28,52,6
34,2020-04-02,1510,47,40,19,5,62,3,15,11,327,8,50,22,26,104,171,24,9,8,84,22,100,32,56,33,42,21,62,13,5,29,53,7
35,2020-04-03,1688,48,52,21,6,70,4,18,12,384,8,52,24,30,116,177,24,12,8,85,22,109,35,65,35,51,22,73,16,8,35,59,7
36,2020-04-04,1890,49,54,27,8,72,4,19,13,469,10,53,25,32,120,180,29,14,9,88,22,125,36,75,35,74,27,83,20,9,37,62,10
37,2020-04-05,2143,49,69,28,8,82,4,25,15,560,12,53,30,34,123,204,30,15,9,91,25,147,38,86,37,90,28,97,26,11,40,67,10
38,2020-04-06,2439,49,111,54,9,102,4,26,22,609,12,58,32,35,126,261,33,17,10,93,27,156,40,115,37,97,30,107,31,14,41,72,9
39,2020-04-07,2785,53,136,56,14,109,5,28,22,723,15,61,37,41,135,320,34,24,10,93,35,179,45,135,41,111,35,108,32,18,46,74,10
40,2020-04-08,3181,53,225,68,14,122,7,32,29,855,15,67,47,46,139,354,36,26,12,98,37,183,47,143,43,125,46,112,43,23,49,74,11
41,2020-04-09,3441,53,239,68,14,129,7,34,42,909,16,71,49,47,139,399,46,35,16,107,40,198,50,159,47,138,48,113,46,29,54,88,11
42,2020-04-10,3844,53,258,85,15,143,7,38,54,1040,16,78,54,51,144,470,46,35,19,110,41,214,55,163,48,171,55,134,48,34,63,88,14
43,2020-04-11,4219,55,278,102,18,156,7,39,54,1117,16,81,56,53,150,498,50,40,21,119,43,243,57,216,51,214,65,143,49,38,73,103,14
44,2020-04-12,4661,55,335,120,19,157,7,43,61,1328,16,82,70,58,156,523,61,44,22,124,43,256,61,223,53,229,69,153,53,40,78,107,15
45,2020-04-13,5014,55,368,153,29,176,7,43,67,1437,16,88,77,58,159,558,62,49,25,132,44,269,61,239,55,245,72,156,53,49,82,114,16
46,2020-04-14,5399,65,412,164,33,194,7,45,69,1556,15,90,88,64,165,602,67,53,25,136,46,276,65,245,55,261,73,195,55,51,94,116,17
47,2020-04-15,5847,65,464,165,43,195,7,48,83,1686,16,91,97,64,176,659,70,56,27,150,50,291,69,269,56,292,78,210,60,58,106,128,18
48,2020-04-16,6297,71,505,166,45,214,7,54,108,1828,17,96,100,67,178,695,84,58,29,159,53,305,76,276,56,327,89,233,78,62,112,131,18
49,2020-04-17,6875,77,536,169,47,217,9,58,115,2080,19,113,110,70,190,754,99,73,31,159,56,314,78,280,58,374,97,250,91,67,121,140,23
50,2020-04-18,7497,77,610,173,56,232,10,62,131,2299,19,116,110,75,196,786,107,77,33,172,62,330,79,315,59,413,108,278,117,72,124,172,27
51,2020-04-19,8261,80,680,193,57,237,11,67,148,2591,21,133,121,87,198,877,115,82,35,184,63,352,81,322,63,459,117,335,127,76,146,176,27
