Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-02-27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-13,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-15,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,11,0,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020-03-17,8,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2020-03-18,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2020-03-19,17,0,3,0,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-20,17,0,3,0,0,1,0,0,1,5,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-21,20,0,2,0,0,0,0,0,0,8,1,0,0,0,0,5,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2020-03-22,18,0,0,0,0,0,0,0,1,8,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0
2020-03-23,36,0,4,0,1,0,0,2,0,11,1,0,0,0,1,6,1,0,0,1,0,1,1,2,1,0,1,2,0,0,0,0,0
2020-03-24,49,0,7,0,0,1,1,0,0,11,0,1,0,0,1,9,0,1,1,0,0,4,0,3,0,3,1,0,1,1,2,1,0
2020-03-25,38,2,3,0,0,0,0,0,1,9,1,0,1,3,1,7,1,0,0,0,0,1,0,5,0,3,0,0,0,0,0,0,0
2020-03-26,57,1,2,1,0,0,0,0,2,18,0,1,2,1,0,7,0,0,0,1,0,6,1,5,0,7,0,0,0,0,2,0,0
2020-03-27,81,0,11,1,0,1,0,0,2,22,0,2,1,2,2,13,0,0,0,1,0,5,2,4,2,5,2,0,0,0,1,1,1
2020-03-28,70,0,3,2,0,1,0,1,1,24,0,2,2,0,2,9,2,1,1,0,0,3,0,4,0,4,3,0,0,1,1,3,0
2020-03-29,63,1,10,1,1,1,0,0,5,22,0,0,0,1,2,4,1,0,0,0,0,1,0,3,2,4,0,1,2,0,0,1,0
2020-03-30,83,0,8,0,0,5,1,0,3,23,1,1,1,2,1,10,0,2,0,4,0,5,1,5,0,5,0,4,0,0,0,1,0
2020-03-31,79,0,13,0,0,2,1,0,5,15,0,0,2,2,4,7,1,0,0,0,0,6,0,8,0,9,2,1,0,0,1,0,0
2020-04-01,133,0,30,1,1,3,0,2,5,30,0,1,1,2,1,14,2,0,0,0,0,6,1,11,0,9,1,3,1,1,3,4,0
2020-04-02,109,0,10,1,2,3,0,1,6,27,0,1,0,0,3,14,0,2,0,1,0,7,0,4,0,18,2,2,1,1,3,0,0
2020-04-03,111,1,15,1,1,0,0,0,5,33,1,3,0,1,0,17,5,1,1,0,2,4,4,5,0,4,0,2,1,0,3,1,0
2020-04-04,105,0,18,1,0,0,0,1,5,32,0,2,2,1,0,13,1,1,1,0,0,6,0,5,1,9,2,1,1,0,1,0,1
2020-04-05,127,1,9,3,0,0,0,0,9,42,0,2,3,1,2,17,0,2,1,0,2,3,0,7,0,12,1,5,0,2,1,2,0
2020-04-06,179,1,25,0,0,4,0,1,5,57,1,1,2,1,0,18,5,3,1,3,1,11,3,10,1,14,4,2,0,2,1,2,0
2020-04-07,148,0,16,0,0,0,0,1,6,50,0,1,2,0,0,20,3,4,1,2,0,7,1,10,0,11,3,3,1,1,5,0,0
2020-04-08,156,0,13,1,0,1,0,2,6,53,0,3,1,2,4,22,4,3,0,0,2,2,2,6,0,18,2,3,0,0,3,1,2
2020-04-09,130,0,17,1,0,1,0,1,1,55,0,1,4,0,0,19,2,1,0,1,0,6,2,4,0,4,2,2,1,0,3,1,1
2020-04-10,161,0,8,2,2,3,0,1,5,55,0,1,1,5,2,18,1,0,0,4,1,8,1,7,0,18,1,7,1,4,3,2,0
2020-04-11,150,1,12,0,2,2,0,0,7,48,0,0,2,3,1,19,1,1,0,1,1,6,0,5,1,17,2,7,1,0,7,3,0
2020-04-12,163,1,10,2,0,0,2,0,5,56,0,1,4,0,2,25,4,2,2,1,1,2,0,6,0,15,3,8,5,0,5,0,1
2020-04-13,182,0,8,1,3,0,0,0,8,65,0,2,4,2,3,28,2,4,1,0,1,12,1,4,0,11,1,10,2,3,4,2,0
2020-04-14,166,0,3,1,0,1,0,2,4,62,0,1,3,0,4,24,3,3,1,1,1,5,3,0,0,18,1,16,6,0,1,2,0
2020-04-15,143,0,1,0,2,0,0,1,6,47,1,4,0,1,0,30,1,2,1,0,1,6,0,5,0,15,5,6,1,0,3,3,1
2020-04-16,140,0,0,1,2,0,0,0,7,35,1,0,6,2,1,15,1,2,2,1,0,5,1,9,0,17,1,14,3,2,10,2,0
2020-04-17,49,0,2,0,0,0,1,1,1,10,0,0,0,0,0,1,1,3,0,0,1,5,2,3,0,4,0,6,3,1,2,1,1
2020-04-18,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,0,0,0,0
