Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-03-12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020-03-17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020-03-19,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,5,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,8,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-22,7,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-23,13,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,3,0,0,0,0,0
2020-03-24,18,0,1,0,0,1,0,0,5,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,2,1,1,0,0,0,0,0
2020-03-25,13,0,2,0,0,0,0,0,3,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2020-03-26,20,0,0,2,0,0,0,0,5,0,0,1,2,0,1,1,0,0,0,0,3,0,1,0,3,0,0,0,0,1,0,0
2020-03-27,26,0,3,0,0,0,0,0,9,0,1,0,0,1,2,0,0,0,0,1,2,0,0,0,2,1,1,1,0,1,0,1
2020-03-28,22,0,2,1,0,1,0,1,7,0,1,0,0,1,0,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,1,0
2020-03-29,20,1,4,0,0,1,0,3,5,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2020-03-30,25,0,4,0,0,4,0,2,5,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
2020-03-31,26,0,2,0,0,1,0,3,4,0,0,1,0,2,0,1,0,0,0,0,3,0,5,0,3,0,1,0,0,0,0,0
2020-04-01,34,0,3,0,1,2,1,1,3,0,0,1,2,1,2,1,0,0,0,0,2,0,5,0,1,1,1,1,0,1,4,0
2020-04-02,27,0,1,1,1,0,0,2,9,0,0,0,0,0,3,0,1,0,1,0,3,0,0,0,3,2,0,0,0,0,0,0
2020-04-03,29,0,3,1,0,0,0,1,4,0,1,0,0,0,5,3,1,1,0,0,1,2,0,0,2,0,3,1,0,0,0,0
2020-04-04,19,0,2,0,0,0,0,3,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,2,1,1,0,0,0,0,0
2020-04-05,26,0,1,0,0,1,0,1,6,0,1,1,0,0,3,0,1,1,0,2,2,0,2,0,2,0,2,0,0,0,0,0
2020-04-06,29,0,1,0,0,1,0,1,5,0,0,0,1,0,6,1,0,0,1,1,0,0,2,0,3,2,1,0,3,0,0,0
2020-04-07,24,0,1,0,0,0,0,0,3,0,1,1,0,0,5,1,2,1,0,0,1,0,4,0,3,0,0,0,0,1,0,0
2020-04-08,19,0,0,0,0,1,0,1,4,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,3,0,0,0,0,1,0,0
2020-04-09,12,0,0,1,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020-04-10,17,0,0,0,0,0,1,0,2,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,0
2020-04-11,11,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0
2020-04-12,10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,1,0,0
2020-04-13,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-04-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
