Fecha,Acumuladas_JH,Acumuladas_abiertos,Nuevas_JH,Nuevas_abiertos
2020-02-20,0,1,0,1
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,2,0,1
2020-02-24,0,2,0,0
2020-02-25,0,2,0,0
2020-02-26,0,2,0,0
2020-02-27,0,2,0,0
2020-02-28,0,2,0,0
2020-02-29,0,2,0,0
2020-03-01,0,2,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,0,2,0,0
2020-03-07,0,2,0,0
2020-03-08,0,2,0,0
2020-03-09,0,2,0,0
2020-03-10,0,2,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,2,0,0
2020-03-17,0,2,0,0
2020-03-18,0,4,0,2
2020-03-19,1,4,1,0
2020-03-20,2,5,1,1
2020-03-21,2,5,0,0
2020-03-22,2,6,0,1
2020-03-23,4,7,2,1
2020-03-24,5,9,1,2
2020-03-25,6,11,1,2
2020-03-26,8,19,2,8
2020-03-27,12,25,4,6
2020-03-28,16,38,4,13
2020-03-29,20,46,4,8
2020-03-30,28,58,8,12
2020-03-31,29,79,1,21
2020-04-01,37,98,8,19
2020-04-02,50,123,13,25
2020-04-03,60,154,10,31
2020-04-04,79,185,19,31
2020-04-05,94,212,15,27
2020-04-06,125,265,31,53
2020-04-07,141,320,16,55
2020-04-08,174,366,33,46
2020-04-09,194,416,20,50
2020-04-10,233,479,39,63
2020-04-11,273,545,40,66
2020-04-12,296,612,23,67
2020-04-13,332,687,36,75
2020-04-14,406,770,74,83
2020-04-15,449,856,43,86
2020-04-16,486,930,37,74
2020-04-17,546,1031,60,101
2020-04-18,650,1129,104,98
2020-04-19,686,1252,36,123
2020-04-20,712,1388,26,136
2020-04-21,857,1523,145,135
2020-04-22,970,1666,113,143
2020-04-23,1069,1806,99,140
2020-04-24,1221,1982,152,176
2020-04-25,1305,2159,84,177
2020-04-26,1351,2354,46,195
2020-04-27,1434,2534,83,180
2020-04-28,1569,2690,135,156
2020-04-29,1732,2896,163,206
2020-04-30,1859,3087,127,191
2020-05-01,1972,3303,113,216
2020-05-02,2061,3507,89,204
2020-05-03,2154,3699,93,192
2020-05-04,2270,3930,116,231
2020-05-05,2507,4144,237,214
2020-05-06,2704,4368,197,224
2020-05-07,2961,4574,257,206
2020-05-08,3160,4795,199,221
2020-05-09,3353,4994,193,199
2020-05-10,3465,5205,112,211
2020-05-11,3573,5422,108,217
2020-05-12,3926,5630,353,208
2020-05-13,4220,5845,294,215
2020-05-14,4477,6083,257,238
2020-05-15,4767,6330,290,247
2020-05-16,5045,6553,278,223
2020-05-17,5177,6779,132,226
2020-05-18,5332,7018,155,239
2020-05-19,5666,7246,334,228
2020-05-20,6090,7451,424,205
2020-05-21,6510,7647,420,196
2020-05-22,6989,7789,479,142
2020-05-23,7179,7930,190,141
2020-05-24,7394,8062,215,132
2020-05-25,7633,8129,239,67
2020-05-26,8134,8134,501,5
