Fecha,Nuevas_JH,Nuevas_abiertos
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,2
2020-03-19,1,2
2020-03-20,2,3
2020-03-21,2,3
2020-03-22,2,4
2020-03-23,4,5
2020-03-24,5,7
2020-03-25,6,9
2020-03-26,8,17
2020-03-27,12,24
2020-03-28,16,38
2020-03-29,20,46
2020-03-30,28,58
2020-03-31,29,80
2020-04-01,37,99
2020-04-02,50,125
2020-04-03,60,157
2020-04-04,79,190
2020-04-05,94,217
2020-04-06,125,270
2020-04-07,141,326
2020-04-08,174,372
2020-04-09,194,425
2020-04-10,233,490
2020-04-11,273,559
2020-04-12,296,631
2020-04-13,332,711
2020-04-14,406,803
2020-04-15,449,897
2020-04-16,486,975
2020-04-17,546,1084
2020-04-18,650,1194
2020-04-19,686,1328
2020-04-20,712,1492
2020-04-21,857,1648
2020-04-22,970,1813
2020-04-23,1069,1976
2020-04-24,1221,2171
2020-04-25,1305,2389
2020-04-26,1351,2624
2020-04-27,1434,2835
2020-04-28,1569,3041
2020-04-29,1732,3306
2020-04-30,1859,3565
2020-05-01,1972,3857
2020-05-02,2061,4118
2020-05-03,2154,4378
2020-05-04,2270,4709
2020-05-05,2507,5019
2020-05-06,2704,5316
2020-05-07,2961,5612
2020-05-08,3160,5933
2020-05-09,3353,6240
2020-05-10,3465,6558
2020-05-11,3573,6897
2020-05-12,3926,7236
2020-05-13,4220,7610
2020-05-14,4477,8023
2020-05-15,4767,8444
2020-05-16,5045,8839
2020-05-17,5177,9281
2020-05-18,5332,9728
2020-05-19,5666,10180
2020-05-20,6090,10639
2020-05-21,6510,11087
2020-05-22,6989,11522
2020-05-23,7179,11953
2020-05-24,7394,12415
2020-05-25,7633,12892
2020-05-26,8134,13371
2020-05-27,8597,13815
2020-05-28,9044,14289
2020-05-29,9415,14723
2020-05-30,9779,15196
2020-05-31,9930,15700
2020-06-01,10167,16242
2020-06-02,10637,16739
2020-06-03,11728,17265
2020-06-04,12545,17791
2020-06-05,13170,18292
2020-06-06,13511,18825
2020-06-07,13699,19378
2020-06-08,14053,19965
2020-06-09,14649,20518
2020-06-10,15357,21101
2020-06-11,15944,21640
2020-06-12,16448,22233
2020-06-13,16872,22786
2020-06-14,17141,23364
2020-06-15,17580,23936
2020-06-16,18310,24569
2020-06-17,19080,25175
2020-06-18,19747,25732
2020-06-19,20394,26266
2020-06-20,20781,26730
2020-06-21,21825,27269
2020-06-22,22584,27804
2020-06-23,23377,28338
2020-06-24,24324,28856
2020-06-25,25060,29356
2020-06-26,25779,29899
2020-06-27,26381,30441
2020-06-28,26648,30972
2020-06-29,27121,31570
2020-06-30,27769,32132
2020-07-01,28510,32670
2020-07-02,29189,33200
2020-07-03,29843,33726
2020-07-04,30366,34280
2020-07-05,30639,34859
2020-07-06,31119,35500
2020-07-07,32014,36102
2020-07-08,32796,36640
2020-07-09,33526,37207
2020-07-10,34191,37733
2020-07-11,34730,38277
2020-07-12,35006,38812
2020-07-13,35491,39391
2020-07-14,36327,39952
2020-07-15,36906,40500
2020-07-16,37574,41055
2020-07-17,38310,41590
2020-07-18,38888,42074
2020-07-19,39184,42610
2020-07-20,39485,43134
2020-07-21,40400,43668
2020-07-22,41190,44136
2020-07-23,41908,44576
2020-07-24,42645,44987
2020-07-25,43374,45389
2020-07-26,43680,45779
2020-07-27,44022,46066
2020-07-28,44876,46353
2020-07-29,45361,46564
2020-07-30,46000,46684
2020-07-31,46688,46688
