Fecha,positivos,pendientes,negativos
2020-02-28,9,1,1855
2020-02-29,10,1,1879
2020-03-01,10,1,1906
2020-03-02,12,1,1987
2020-03-03,12,1,2061
2020-03-04,14,1,2128
2020-03-05,15,1,2192
2020-03-06,15,1,2245
2020-03-07,16,1,2269
2020-03-08,20,1,2300
2020-03-09,22,2,2377
2020-03-10,31,2,2474
2020-03-11,58,2,2582
2020-03-12,86,2,2759
2020-03-13,146,2,2981
2020-03-14,195,3,3095
2020-03-15,231,4,3230
2020-03-16,299,5,3427
2020-03-17,390,5,3791
2020-03-18,489,8,4194
2020-03-19,596,8,4679
2020-03-20,696,9,5152
2020-03-21,762,9,5483
2020-03-22,810,9,5749
2020-03-23,939,20,6449
2020-03-24,1103,21,7417
2020-03-25,1244,25,8520
2020-03-26,1416,26,9567
2020-03-27,1626,29,10823
2020-03-28,1784,32,11432
2020-03-29,1925,37,12034
2020-03-30,2230,43,13399
2020-03-31,2506,53,14619
2020-04-01,2822,70,15877
2020-04-02,3121,83,17263
2020-04-03,3457,98,18656
2020-04-04,3676,107,19501
2020-04-05,3898,113,20089
2020-04-06,4429,120,21530
2020-04-07,4877,132,23058
2020-04-08,5390,149,24705
2020-04-09,5796,154,25931
2020-04-10,6277,170,27359
2020-04-11,6680,177,28321
2020-04-12,7106,180,29084
2020-04-13,7916,191,31032
2020-04-14,8747,208,33054
2020-04-15,9599,230,34945
2020-04-16,10470,249,36714
2020-04-17,11481,270,38679
2020-04-18,12196,285,39548
2020-04-19,12848,307,40344
2020-04-20,14169,335,42522
2020-04-21,15454,363,44480
2020-04-22,16678,402,46376
2020-04-23,17987,443,48482
2020-04-24,19484,481,50833
2020-04-25,20419,509,52017
2020-04-26,21323,536,52950
2020-04-27,22976,625,55403
2020-04-28,24631,701,57988
2020-04-29,26274,768,60907
2020-04-30,27895,838,64198
2020-05-01,29113,915,65875
2020-05-02,30343,1001,67311
2020-05-03,31460,1090,68789
2020-05-04,33747,1281,72118
2020-05-05,35575,1673,74977
2020-05-06,37569,2168,78225
2020-05-07,39580,2659,81468
2020-05-08,41612,3265,84991
2020-05-09,42829,3719,86769
2020-05-10,43955,3986,88026
2020-05-11,46348,4780,91629
2020-05-12,48560,6108,94990
2020-05-13,50936,7459,98053
2020-05-14,53190,8974,101378
2020-05-15,55539,10851,104659
2020-05-16,56845,11941,106196
2020-05-17,57844,12750,107068
2020-05-18,60064,15527,110080
2020-05-19,61587,18750,112374
2020-05-20,62415,24147,113550
2020-05-21,62522,30692,113741
2020-05-22,62527,33801,113742
