Fecha,positivos,pendientes,negativos
2020-02-28,4,20,214
2020-02-29,2,7,82
2020-03-01,1,13,143
2020-03-02,5,25,275
2020-03-03,11,26,275
2020-03-04,9,32,227
2020-03-05,10,20,216
2020-03-06,6,18,167
2020-03-07,7,9,71
2020-03-08,8,12,105
2020-03-09,5,23,236
2020-03-10,15,36,238
2020-03-11,39,52,278
2020-03-12,42,63,342
2020-03-13,66,109,371
2020-03-14,51,68,168
2020-03-15,38,52,204
2020-03-16,75,106,290
2020-03-17,103,161,618
2020-03-18,118,169,667
2020-03-19,151,177,690
2020-03-20,131,177,626
2020-03-21,82,111,410
2020-03-22,68,99,344
2020-03-23,162,227,918
2020-03-24,221,286,1149
2020-03-25,176,379,1246
2020-03-26,220,395,1159
2020-03-27,257,445,1344
2020-03-28,183,281,606
2020-03-29,155,234,601
2020-03-30,336,579,1347
2020-03-31,307,511,1205
2020-04-01,365,578,1252
2020-04-02,338,533,1378
2020-04-03,374,571,1385
2020-04-04,240,325,858
2020-04-05,245,295,583
2020-04-06,607,720,1454
2020-04-07,497,610,1522
2020-04-08,560,669,1654
2020-04-09,460,535,1232
2020-04-10,549,723,1410
2020-04-11,447,483,970
2020-04-12,453,488,758
2020-04-13,913,1002,1935
2020-04-14,893,1015,2032
2020-04-15,947,1061,1901
2020-04-16,962,1072,1778
2020-04-17,1111,1285,1974
2020-04-18,781,817,886
2020-04-19,743,759,801
2020-04-20,1460,1585,2204
2020-04-21,1415,1499,1959
2020-04-22,1362,1500,1916
2020-04-23,1445,1592,2152
2020-04-24,1671,1814,2356
2020-04-25,1091,1192,1186
2020-04-26,1037,1098,942
2020-04-27,1851,2057,2525
2020-04-28,1891,2085,2608
2020-04-29,1852,2016,2933
2020-04-30,1829,1988,3328
2020-05-01,1465,1624,1719
2020-05-02,1402,1476,1461
2020-05-03,1297,1335,1517
2020-05-04,2564,2763,3414
2020-05-05,2147,2272,2993
2020-05-06,2318,2670,3419
2020-05-07,2445,2873,3416
2020-05-08,2462,2776,3749
2020-05-09,1568,1701,1957
2020-05-10,1467,1536,1350
2020-05-11,3034,3248,3928
2020-05-12,3003,3116,4113
2020-05-13,3164,3258,3823
2020-05-14,3148,3205,4155
2020-05-15,3599,3744,4281
2020-05-16,2207,2243,2042
2020-05-17,1667,1686,1253
2020-05-18,4116,4196,4501
2020-05-19,3648,3708,4152
2020-05-20,3989,4062,4430
2020-05-21,4054,4095,4295
2020-05-22,4060,4199,4597
2020-05-23,2354,2404,2175
2020-05-24,1946,1966,1722
2020-05-25,4722,4827,4879
2020-05-26,4378,4499,4794
2020-05-27,4501,4623,4932
2020-05-28,4271,4380,4735
2020-05-29,4399,4496,4932
2020-05-30,2776,2815,2573
2020-05-31,2139,2156,1753
2020-06-01,5377,5499,5241
2020-06-02,4788,4938,5112
2020-06-03,5007,5153,5400
2020-06-04,4964,5086,5273
2020-06-05,5093,5233,5624
2020-06-06,3098,3152,2620
2020-06-07,2414,2459,1810
2020-06-08,6213,6378,5652
2020-06-09,5814,6011,5981
2020-06-10,5779,5965,6047
2020-06-11,5433,5645,6001
2020-06-12,5691,5891,6254
2020-06-13,3189,3268,2604
2020-06-14,2638,2693,1986
2020-06-15,6614,6874,6704
2020-06-16,6446,6699,6351
2020-06-17,6150,6318,6063
2020-06-18,6108,6355,5866
2020-06-19,6108,6346,5842
2020-06-20,3634,3692,2752
2020-06-21,2540,2573,1630
2020-06-22,6933,7055,5666
2020-06-23,6598,6765,6346
2020-06-24,6322,6522,5970
2020-06-25,6304,6578,6420
2020-06-26,6581,6913,6584
2020-06-27,3727,3775,3084
2020-06-28,3014,3072,2116
2020-06-29,7538,7758,7234
2020-06-30,7201,7471,6889
2020-07-01,7676,7923,7235
2020-07-02,7069,7343,6605
2020-07-03,7089,7400,7004
2020-07-04,3707,3708,2838
2020-07-05,3041,3081,2194
2020-07-06,7887,8163,7564
2020-07-07,7940,8218,7424
2020-07-08,7469,7738,7278
2020-07-09,7086,7375,6935
2020-07-10,7194,7574,6937
2020-07-11,3916,3834,3042
2020-07-12,3254,3195,2107
2020-07-13,8900,8749,7653
2020-07-14,8462,8381,7384
2020-07-15,8852,8914,8100
2020-07-16,8266,8182,7965
2020-07-17,8036,7926,8235
2020-07-18,4423,4317,3635
2020-07-19,3458,3278,2039
2020-07-20,9126,9198,8267
2020-07-21,8659,8791,7911
2020-07-22,8307,8393,8091
2020-07-23,8083,8160,7739
2020-07-24,8031,8027,7648
2020-07-25,4199,4089,3279
2020-07-26,3044,2915,2167
2020-07-27,8485,8498,7598
2020-07-28,8199,8018,7968
2020-07-29,7669,7677,7642
2020-07-30,7592,7530,7704
2020-07-31,6736,6805,7560
2020-08-01,3821,3738,3547
2020-08-02,2532,2474,1993
2020-08-03,7508,7459,7367
2020-08-04,7399,7362,7994
2020-08-05,7170,7036,7831
2020-08-06,6698,6694,7607
2020-08-07,6607,6494,7771
2020-08-08,3674,3503,3271
2020-08-09,2419,2319,1946
2020-08-10,7228,7190,8029
2020-08-11,6901,6932,8138
2020-08-12,6477,6575,7971
2020-08-13,6455,6482,7969
2020-08-14,6212,6248,7960
2020-08-15,3244,3244,3368
2020-08-16,2317,2311,2001
2020-08-17,6913,7024,7815
2020-08-18,6708,6796,8330
2020-08-19,6285,6356,8065
2020-08-20,6021,5999,7177
2020-08-21,6309,6437,8062
2020-08-22,3144,3045,3515
2020-08-23,2338,2325,1951
2020-08-24,7058,7122,7857
2020-08-25,6672,6807,8313
2020-08-26,7081,7076,9586
2020-08-27,6535,6641,9457
2020-08-28,6347,6393,9414
2020-08-29,3156,3173,4448
2020-08-30,2215,2191,2159
2020-08-31,7036,7036,8406
2020-09-01,7150,7199,9299
2020-09-02,6947,7058,9481
2020-09-03,6288,6374,9443
2020-09-04,6037,6151,9422
2020-09-05,2895,2871,3850
2020-09-06,2073,2045,2066
2020-09-07,6412,6471,8777
2020-09-08,6630,6697,9421
2020-09-09,6047,6152,9389
2020-09-10,5713,5779,9384
2020-09-11,5500,5593,8896
2020-09-12,2795,2751,3630
2020-09-13,1897,1842,2031
2020-09-14,6270,6336,8811
2020-09-15,4346,4318,6989
2020-09-16,2224,2176,2360
2020-09-17,6392,6453,8905
2020-09-18,5602,5710,9077
2020-09-19,2808,2776,3519
2020-09-20,1833,1767,2016
2020-09-21,6288,6379,8488
2020-09-22,6169,6241,9200
2020-09-23,5805,5967,8926
2020-09-24,5380,5492,8501
2020-09-25,5265,5298,8718
2020-09-26,2646,2630,3615
2020-09-27,1807,1770,2008
2020-09-28,6249,6299,8994
2020-09-29,5958,5992,9368
2020-09-30,5525,5606,9004
2020-10-01,5281,5306,8448
2020-10-02,5001,4996,8413
2020-10-03,2429,2449,3352
2020-10-04,1735,1702,1964
2020-10-05,5887,5926,7737
2020-10-06,5948,6084,8826
2020-10-07,5759,5866,8712
2020-10-08,5484,5643,8260
2020-10-09,5667,5801,7940
2020-10-10,3017,3007,3205
2020-10-11,2174,2155,2096
2020-10-12,6807,6907,8575
2020-10-13,7132,7301,9655
2020-10-14,6443,6541,9137
2020-10-15,6480,6535,8268
2020-10-16,6606,6738,9135
2020-10-17,3337,3330,3646
2020-10-18,2347,2337,2296
2020-10-19,8218,8303,10476
2020-10-20,8364,8564,11023
2020-10-21,7403,7564,11200
2020-10-22,7268,7439,11240
2020-10-23,7252,7447,10811
2020-10-24,3482,3523,4028
2020-10-25,2459,2410,2503
2020-10-26,8375,8586,11802
2020-10-27,7938,8181,12314
2020-10-28,7178,7470,12092
2020-10-29,6866,7111,11516
2020-10-30,6280,6512,9735
2020-10-31,2998,3040,3628
2020-11-01,2158,2101,1994
2020-11-02,5131,5201,5017
2020-11-03,8081,8327,10801
2020-11-04,7621,7787,10609
2020-11-05,7518,7706,10629
2020-11-06,7080,7289,9624
2020-11-07,3530,3512,3542
2020-11-08,2630,2600,2056
2020-11-09,8930,9057,11114
2020-11-10,8889,9175,10765
2020-11-11,8360,8538,10486
2020-11-12,8133,8607,10172
2020-11-13,7571,7743,10150
2020-11-14,3888,3915,4094
2020-11-15,2621,2620,2205
2020-11-16,3288,3256,2696
2020-11-17,9577,9989,11432
2020-11-18,8706,9177,10370
2020-11-19,8215,8565,9386
2020-11-20,8353,8439,10746
2020-11-21,4187,4013,5238
2020-11-22,2754,2729,2395
2020-11-23,10318,10209,12301
2020-11-24,10235,10074,14000
2020-11-25,9548,9352,13606
2020-11-26,9551,9439,13720
2020-11-27,9540,9167,13571
2020-11-28,4859,4548,6156
2020-11-29,2981,2870,2828
2020-11-30,10894,10533,15546
2020-12-01,11529,11016,17069
2020-12-02,11401,10741,17799
2020-12-03,11139,10279,18674
2020-12-04,10848,10063,18649
2020-12-05,5944,5260,9289
2020-12-06,3134,2980,2744
2020-12-07,13009,12221,19203
2020-12-08,12950,12186,18714
2020-12-09,12373,11591,19575
2020-12-10,12646,11811,20940
2020-12-11,12465,11552,19893
2020-12-12,6841,6287,8873
2020-12-13,3395,3256,3081
2020-12-14,14303,13561,20409
2020-12-15,13931,13302,19741
2020-12-16,13300,12640,19693
2020-12-17,12744,11929,19880
2020-12-18,12490,11562,21062
2020-12-19,6558,5983,10730
2020-12-20,3782,3583,3089
2020-12-21,14350,13782,22845
2020-12-22,13772,13091,21945
2020-12-23,12608,11890,21804
2020-12-24,10308,9486,16045
2020-12-25,2714,2583,1983
2020-12-26,5870,5477,6585
2020-12-27,4340,4099,3338
2020-12-28,15841,15040,24064
2020-12-29,15878,14732,24418
2020-12-30,14557,13483,24046
2020-12-31,11914,10931,18557
2021-01-01,3305,3157,2402
2021-01-02,6802,6535,7846
2021-01-03,5126,4856,4160
2021-01-04,17921,16901,24323
2021-01-05,18648,17784,25055
2021-01-06,18388,17490,24984
2021-01-07,18709,17615,26009
2021-01-08,18440,17274,25298
2021-01-09,9750,8798,12519
2021-01-10,5521,5215,4407
2021-01-11,20698,19356,27732
2021-01-12,19439,18216,26931
2021-01-13,18315,17128,27009
2021-01-14,18195,16994,27732
2021-01-15,17310,16009,26823
2021-01-16,9357,8462,13928
2021-01-17,5153,4922,4476
2021-01-18,19259,17861,29051
2021-01-19,18773,17573,29884
2021-01-20,17407,16370,28781
2021-01-21,16851,15643,28317
2021-01-22,16366,15104,29248
2021-01-23,8654,7924,14792
2021-01-24,4641,4461,4698
2021-01-25,17937,16734,29695
2021-01-26,17015,15657,30272
2021-01-27,14955,13866,31298
2021-01-28,14036,12915,29553
2021-01-29,12327,11126,27777
2021-01-30,6661,5916,14031
2021-01-31,3635,3493,3630
2021-02-01,4551,4358,6421
2021-02-02,13375,12429,26665
2021-02-03,11924,10928,25278
2021-02-04,10920,9963,25062
2021-02-05,10200,9347,24863
2021-02-06,5201,4623,11450
2021-02-07,2705,2592,3334
2021-02-08,11568,10615,25112
2021-02-09,9229,8520,24053
2021-02-10,8552,7910,22920
2021-02-11,7816,7191,21988
2021-02-12,7645,6949,22926
2021-02-13,3965,3299,9774
2021-02-14,2130,2021,2860
2021-02-15,8225,7522,21420
2021-02-16,7735,7022,20047
2021-02-17,6994,6417,19227
2021-02-18,6958,6303,19699
2021-02-19,6650,6120,20146
2021-02-20,3380,3073,8196
2021-02-21,2001,1939,3486
2021-02-22,8478,7856,22871
2021-02-23,7393,6750,21512
2021-02-24,6717,6186,20830
2021-02-25,6660,6201,20362
2021-02-26,6773,5942,21004
2021-02-27,3463,2999,8333
2021-02-28,2059,1996,3347
2021-03-01,8475,7739,22047
2021-03-02,6807,6107,20538
2021-03-03,6458,5744,19839
2021-03-04,6172,5518,18582
2021-03-05,5943,5393,19700
2021-03-06,3022,2669,7823
2021-03-07,1948,1800,3153
2021-03-08,6879,6157,19664
2021-03-09,5857,5212,18390
2021-03-10,5401,4801,18201
2021-03-11,5270,4659,17620
2021-03-12,5032,4410,18277
2021-03-13,2635,2311,7718
2021-03-14,1531,1432,3332
2021-03-15,2118,1915,4640
2021-03-16,6639,5925,19553
2021-03-17,5198,4544,18178
2021-03-18,4910,4297,17393
2021-03-19,4661,4134,17863
2021-03-20,2397,1991,7280
2021-03-21,1530,1462,3619
2021-03-22,5800,5239,18884
2021-03-23,5064,4478,18142
2021-03-24,4478,3989,17390
2021-03-25,4465,3957,17650
2021-03-26,4027,3619,16674
2021-03-27,2193,1803,7589
2021-03-28,1281,1218,3872
2021-03-29,5145,4640,18067
2021-03-30,4292,3741,17617
2021-03-31,3906,3419,15929
2021-04-01,2039,1879,6775
2021-04-02,1633,1551,5201
2021-04-03,1560,1489,3660
2021-04-04,1384,1285,3438
2021-04-05,5408,4917,18378
2021-04-06,4503,4140,17379
2021-04-07,4282,3869,17441
2021-04-08,4113,3744,18210
2021-04-09,3887,3479,17642
2021-04-10,2117,1840,8449
2021-04-11,1183,1146,3960
2021-04-12,4870,4377,20165
2021-04-13,4046,3634,18569
2021-04-14,3671,3274,17638
2021-04-15,3611,3237,16700
2021-04-16,3232,2880,16174
2021-04-17,1618,1423,6833
2021-04-18,1089,1032,3293
2021-04-19,4177,3761,17996
2021-04-20,3463,3097,17350
2021-04-21,3468,2992,17081
2021-04-22,3097,2743,16265
2021-04-23,2977,2633,15396
2021-04-24,1683,1398,7054
2021-04-25,1018,942,3204
2021-04-26,3735,3294,16898
2021-04-27,3311,2890,15484
2021-04-28,2988,2639,15408
2021-04-29,2819,2401,13080
2021-04-30,2547,2220,12412
2021-05-01,955,857,3214
2021-05-02,903,838,2870
2021-05-03,3233,2951,14289
2021-05-04,2687,2413,13764
2021-05-05,2394,2099,11765
2021-05-06,2566,2292,13223
2021-05-07,2228,1947,12030
2021-05-08,1166,991,5303
2021-05-09,707,682,2517
2021-05-10,1498,1366,6327
2021-05-11,2639,2316,12475
2021-05-12,1880,1556,9640
2021-05-13,1100,879,5132
2021-05-14,8,7,26
