Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-03-18,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-26,8,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-03-27,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-03-28,13,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
2020-03-29,8,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-30,11,0,2,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2020-03-31,21,0,2,1,0,1,0,0,0,7,1,0,0,0,1,1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1
2020-04-01,19,0,2,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,3,0,0,1,0,0
2020-04-02,19,0,5,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0
2020-04-03,32,0,3,0,0,1,0,0,2,7,0,0,0,2,0,3,1,0,0,3,0,1,0,2,0,2,0,1,1,0,1,2,0
2020-04-04,24,0,4,1,0,0,0,0,1,5,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1
2020-04-05,24,0,2,1,0,2,0,0,1,3,0,2,0,0,1,3,0,0,0,1,0,3,0,1,0,0,1,3,0,0,0,0,0
2020-04-06,48,0,8,0,2,1,0,1,2,13,0,0,2,0,0,4,1,1,0,0,0,4,0,2,1,1,1,2,1,0,0,1,0
2020-04-07,48,0,4,0,0,4,0,0,5,9,0,1,0,0,1,7,0,1,0,2,0,7,0,2,0,2,1,0,0,0,0,2,0
2020-04-08,33,0,4,0,0,0,0,0,5,6,0,0,0,2,1,2,1,1,2,0,0,1,0,3,0,2,1,1,0,1,0,0,0
2020-04-09,38,0,4,0,0,1,0,1,4,10,0,1,1,0,0,1,1,0,1,0,1,1,0,3,0,5,1,1,0,0,1,0,0
2020-04-10,42,1,3,0,1,1,0,0,1,18,0,1,0,0,1,0,1,0,0,0,0,4,1,2,0,5,0,0,0,0,0,2,0
2020-04-11,50,0,6,1,0,0,0,1,0,19,0,0,0,1,1,7,1,0,0,0,2,3,1,1,0,4,1,1,0,0,0,0,0
2020-04-12,44,0,6,1,0,0,0,0,3,7,0,0,1,0,0,6,0,0,1,0,0,2,0,3,0,3,3,2,0,3,3,0,0
2020-04-13,44,1,3,0,0,0,1,0,3,10,0,0,1,0,0,5,4,3,0,0,0,2,0,3,0,3,0,4,0,0,1,0,0
2020-04-14,46,0,6,0,1,2,0,0,1,14,0,2,1,2,0,4,1,0,0,0,1,2,1,0,0,3,0,4,1,0,0,0,0
2020-04-15,43,0,7,0,0,1,0,0,1,16,0,0,2,2,0,2,0,1,0,0,0,1,1,0,0,3,1,3,1,0,0,1,0
2020-04-16,28,0,2,0,0,1,1,0,2,10,0,0,0,0,1,3,2,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0
2020-04-17,25,0,1,1,0,0,0,0,1,1,0,2,1,0,1,1,0,1,0,0,1,1,0,3,0,1,1,6,0,0,1,1,0
2020-04-18,20,0,0,0,0,0,0,0,0,3,0,0,1,2,0,2,1,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0
2020-04-19,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-04-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
