"Estado","% Ocupación"
"Ciudad de México","44.94"
"Quintana Roo","42.44"
"Baja California","42.35"
"México","39.34"
"Nayarit","26.47"
"Guerrero","23.52"
"Morelos","22.89"
"Sinaloa","22.02"
"Coahuila de Zaragoza","20.68"
"Tlaxcala","18.60"
"Hidalgo","18.24"
"Durango","17.46"
"Tabasco","15.77"
"Chiapas","14.63"
"Baja California Sur","13.63"
"Michoacán de Ocampo","12.97"
"Chihuahua","12.39"
"Yucatán","12.28"
"Veracruz de Ignacio de La Llave","11.84"
"Tamaulipas","9.02"
"Oaxaca","9.00"
"Jalisco","8.51"
"Sonora","8.41"
"San Luis Potosí","7.98"
"Puebla","7.08"
"Campeche","6.66"
"Guanajuato","5.63"
"Zacatecas","5.33"
"Nuevo León","5.08"
"Aguascalientes","4.58"
"Querétaro","3.70"
"Colima","2.89"
