"Estado","% Ocupación"
"Durango","70.49"
"Ciudad de México","65.22"
"Nuevo León","63.01"
"Coahuila de Zaragoza","62.88"
"Zacatecas","60.40"
"Guanajuato","58.08"
"Hidalgo","54.97"
"México","54.41"
"Aguascalientes","48.32"
"Chihuahua","44.73"
"Querétaro","41.91"
"Baja California","37.12"
"Sonora","36.98"
"Oaxaca","29.71"
"Morelos","26.72"
"Michoacán de Ocampo","25.75"
"Puebla","25.52"
"Nayarit","24.51"
"San Luis Potosí","24.12"
"Jalisco","22.68"
"Guerrero","21.08"
"Tabasco","20.60"
"Tamaulipas","19.89"
"Veracruz de Ignacio de La Llave","17.63"
"Sinaloa","17.36"
"Baja California Sur","16.79"
"Tlaxcala","13.78"
"Yucatán","11.14"
"Quintana Roo","10.43"
"Colima","10.36"
"Campeche","3.39"
"Chiapas","2.71"
