"Estado","% Ocupación"
"Zacatecas","79.31"
"Querétaro","68.75"
"Ciudad de México","66.77"
"Nuevo León","62.14"
"Yucatán","59.25"
"Tamaulipas","55.26"
"Aguascalientes","51.28"
"Baja California","50.52"
"Tlaxcala","50.00"
"Veracruz de Ignacio de La Llave","49.29"
"Durango","48.43"
"México","43.61"
"Michoacán de Ocampo","41.93"
"Puebla","38.88"
"Jalisco","36.53"
"Chihuahua","35.22"
"Quintana Roo","34.84"
"Oaxaca","29.90"
"Tabasco","29.54"
"San Luis Potosí","29.00"
"Guanajuato","27.52"
"Morelos","24.00"
"Hidalgo","22.68"
"Coahuila de Zaragoza","22.03"
"Sinaloa","21.42"
"Guerrero","19.56"
"Sonora","18.66"
"Baja California Sur","16.21"
"Campeche","14.63"
"Colima","10.52"
"Chiapas","10.12"
"Nayarit","6.66"
