"Estado","% Ocupación"
"Querétaro","77.77"
"Ciudad de México","66.66"
"Morelos","59.09"
"Yucatán","57.89"
"México","47.05"
"Tabasco","40.98"
"Puebla","35.89"
"Durango","33.33"
"Aguascalientes","32.75"
"Michoacán de Ocampo","31.57"
"Tamaulipas","30.52"
"Veracruz de Ignacio de La Llave","30.06"
"Chihuahua","29.33"
"Sinaloa","27.50"
"Coahuila de Zaragoza","26.31"
"Sonora","25.45"
"Oaxaca","24.67"
"Zacatecas","22.22"
"San Luis Potosí","22.22"
"Jalisco","21.85"
"Nuevo León","21.60"
"Quintana Roo","20.33"
"Guerrero","20.00"
"Hidalgo","17.64"
"Colima","16.66"
"Guanajuato","15.21"
"Baja California","13.63"
"Tlaxcala","12.50"
"Chiapas","7.93"
"Campeche","3.57"
"Baja California Sur","0.00"
"Nayarit","0.00"
