"Estado","% Ocupación"
"Aguascalientes","49.76"
"Nuevo León","49.60"
"Ciudad de México","45.18"
"Colima","43.63"
"Baja California","35.98"
"San Luis Potosí","35.60"
"Durango","35.29"
"Puebla","34.74"
"Coahuila de Zaragoza","33.51"
"Querétaro","32.26"
"Zacatecas","32.05"
"Yucatán","31.71"
"Sinaloa","30.83"
"México","30.30"
"Jalisco","30.12"
"Veracruz de Ignacio de La Llave","30.02"
"Tamaulipas","29.18"
"Hidalgo","25.67"
"Oaxaca","25.30"
"Michoacán de Ocampo","24.72"
"Baja California Sur","24.46"
"Tabasco","24.22"
"Quintana Roo","24.17"
"Tlaxcala","21.37"
"Nayarit","21.01"
"Chihuahua","20.24"
"Morelos","18.49"
"Guanajuato","14.08"
"Guerrero","12.03"
"Sonora","11.98"
"Campeche","9.55"
"Chiapas","5.07"
