"Estado","% Ocupación"
"Colima","50.48"
"Ciudad de México","40.30"
"Nuevo León","37.43"
"Aguascalientes","36.27"
"Chihuahua","30.92"
"Baja California","25.91"
"Oaxaca","25.67"
"México","24.42"
"Querétaro","24.08"
"Zacatecas","23.17"
"Michoacán de Ocampo","22.76"
"Veracruz de Ignacio de La Llave","22.48"
"Coahuila de Zaragoza","22.27"
"San Luis Potosí","21.92"
"Baja California Sur","21.71"
"Tabasco","21.00"
"Sinaloa","20.14"
"Guerrero","18.25"
"Jalisco","18.00"
"Sonora","17.52"
"Yucatán","17.44"
"Morelos","17.41"
"Durango","16.98"
"Puebla","16.89"
"Hidalgo","16.46"
"Nayarit","13.92"
"Tlaxcala","13.11"
"Tamaulipas","12.50"
"Quintana Roo","12.39"
"Guanajuato","9.31"
"Chiapas","5.32"
"Campeche","2.79"
